"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"40","@SolarCoin_SLR Where is solar wallet for OS and android",FALSE,0,"SolarCoin_SLR",2018-02-07 09:28:12,FALSE,"958787728774172677","961169715929362432","2244295159","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ndikpasowo2",0,FALSE,FALSE,NA,NA
"41","<ed><U+00A0><U+00BD><ed><U+00B3><U+0086>2018/02/07 03:07 @ Home
<U+23F1>1,152 days up
<ed><U+00A0><U+00BC><ed><U+00BC><U+00A4>22 #solarpanels (5.50 kW)
<U+26A1>ENERGY = §22.667 MWh
<ed><U+00A0><U+00BD><ed><U+00B4><U+0080>SLR/USD = $0.4762<U+2B06>
<ed><U+00A0><U+00BD><ed><U+00B2><U+00B5>Earni… https://t.co/eM8fMES53N",FALSE,0,NA,2018-02-07 09:07:05,TRUE,NA,"961164401654009856",NA,"<a href=""http://shkspr.mobi/blog/2013/12/graphing-my-solar-panels-open-source/"" rel=""nofollow"">SolarPanelGraph</a>","projectAlborada",0,FALSE,FALSE,NA,NA
"42","@ACWAPower + #solarcoin = Win-Win ! Hopefully more #solar #power companies will join to claim FREE Solar Coins! $slr https://t.co/0hQnBSj2WV",FALSE,1,"ACWAPower",2018-02-07 06:55:32,FALSE,NA,"961131293856747522","260203980","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SolarCoinNews",0,FALSE,FALSE,NA,NA
"43","RT @NarecDE: Should we accept #solarcoin as a payment method for our solar PV training course? @SolarCoin_SLR @SolarCoinNews @thesolartrade",FALSE,0,NA,2018-02-07 06:53:16,FALSE,NA,"961130723158708224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tijis311",7,TRUE,FALSE,NA,NA
"44","@NarecDE @SolarCoin_SLR @SolarCoinNews @thesolartrade Absolutely!  I'd even consider just sending some SLR your way… https://t.co/HPiVG1vPAG",FALSE,3,"NarecDE",2018-02-07 06:52:02,TRUE,"961004587124756480","961130414399262720","552883220","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tijis311",0,FALSE,FALSE,NA,NA
"45","@NarecDE @SolarCoin_SLR @thesolartrade Yes &amp; Thanks :-)!",FALSE,2,"NarecDE",2018-02-07 06:26:11,FALSE,"961004587124756480","961123910946381824","552883220","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SolarCoinNews",0,FALSE,FALSE,NA,NA
"46","@mateosfo Sovereign wealth fund + #solarcoin bro",FALSE,1,"mateosfo",2018-02-07 05:32:21,FALSE,"961082636750897152","961110361570201600","96015193","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","daguilarcanabal",0,FALSE,FALSE,NA,NA
"47","<ed><U+00A0><U+00BD><ed><U+00B3><U+0086>2018/02/06 23:07 @ Home
<U+23F1>1,151 days up
<ed><U+00A0><U+00BC><ed><U+00BC><U+00A4>22 #solarpanels (5.50 kW)
<U+26A1>ENERGY = §22.667 MWh
<ed><U+00A0><U+00BD><ed><U+00B4><U+0080>SLR/USD = $0.4592<U+2B07>
<ed><U+00A0><U+00BD><ed><U+00B2><U+00B5>Earni… https://t.co/cGXF1tyWsC",FALSE,0,NA,2018-02-07 05:07:05,TRUE,NA,"961104003806433280",NA,"<a href=""http://shkspr.mobi/blog/2013/12/graphing-my-solar-panels-open-source/"" rel=""nofollow"">SolarPanelGraph</a>","projectAlborada",0,FALSE,FALSE,NA,NA
"48","RT @solcrypto: #solarcoin claims from December to February are in the transaction pipe now. If you’re a claimer, thank you and we are proce…",FALSE,0,NA,2018-02-07 03:35:01,FALSE,NA,"961080835557543936",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","renewables4life",3,TRUE,FALSE,NA,NA
"49","RT @NewsTechHealth: Saudi Arabia’s ACWA Power has become the first major energy company to adopt SolarCoin - @NawiedJabarkhyl report https:…",FALSE,0,NA,2018-02-07 02:35:31,FALSE,NA,"961065862315872262",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Video__Portal",2,TRUE,FALSE,NA,NA
"50","RT @solcrypto: RT @M157q_News_RSS: What else other than Bitcoin can a Blockchain do? Think solar energy.
https://t.co/dvW64voWAD
SolarCoin:…",FALSE,0,NA,2018-02-07 01:16:50,FALSE,NA,"961046057839837184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SolarLux_Ltd",1,TRUE,FALSE,NA,NA
"51","<ed><U+00A0><U+00BD><ed><U+00B3><U+0086>2018/02/06 19:07 @ Home
<U+23F1>1,151 days up
<ed><U+00A0><U+00BC><ed><U+00BC><U+00A4>22 #solarpanels (5.50 kW)
<U+26A1>ENERGY = §22.667 MWh
<ed><U+00A0><U+00BD><ed><U+00B4><U+0080>SLR/USD = $0.4864<U+2B06>
<ed><U+00A0><U+00BD><ed><U+00B2><U+00B5>Earni… https://t.co/MZmLqPqC9w",FALSE,0,NA,2018-02-07 01:07:06,TRUE,NA,"961043607837970437",NA,"<a href=""http://shkspr.mobi/blog/2013/12/graphing-my-solar-panels-open-source/"" rel=""nofollow"">SolarPanelGraph</a>","projectAlborada",0,FALSE,FALSE,NA,NA
"52","RT @NarecDE: Should we accept #solarcoin as a payment method for our solar PV training course? @SolarCoin_SLR @SolarCoinNews @thesolartrade",FALSE,0,NA,2018-02-06 22:46:11,FALSE,NA,"961008147275108352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BernardMcCarty",7,TRUE,FALSE,NA,NA
"53","RT @NarecDE: Should we accept #solarcoin as a payment method for our solar PV training course? @SolarCoin_SLR @SolarCoinNews @thesolartrade",FALSE,0,NA,2018-02-06 22:44:50,FALSE,NA,"961007807033208839",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jjkula",7,TRUE,FALSE,NA,NA
"54","RT @NarecDE: Should we accept #solarcoin as a payment method for our solar PV training course? @SolarCoin_SLR @SolarCoinNews @thesolartrade",FALSE,0,NA,2018-02-06 22:43:30,FALSE,NA,"961007471098781697",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SolarCoinNews",7,TRUE,FALSE,NA,NA
"55","Should we accept #solarcoin as a payment method for our solar PV training course? @SolarCoin_SLR @SolarCoinNews @thesolartrade",FALSE,8,NA,2018-02-06 22:32:02,FALSE,NA,"961004587124756480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NarecDE",7,FALSE,FALSE,NA,NA
"56","@TheBeamMagazine @cleantechnica - Thank you for covering #solarcoin!",FALSE,5,"SolarCoinNews",2018-02-06 22:21:18,FALSE,"960997398280638464","961001885170831361","951935278016581632","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SolarCoinNews",0,FALSE,FALSE,NA,NA
"57","RT @solcrypto: #solarcoin claims from December to February are in the transaction pipe now. If you’re a claimer, thank you and we are proce…",FALSE,0,NA,2018-02-06 21:27:21,FALSE,NA,"960988308741480448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","slr_coin",3,TRUE,FALSE,NA,NA
"58","<ed><U+00A0><U+00BD><ed><U+00B3><U+0086>2018/02/06 15:07 @ Home
<U+23F1>1,151 days up
<ed><U+00A0><U+00BC><ed><U+00BC><U+00A4>22 #solarpanels (5.50 kW)
<U+26A1>ENERGY = §22.667 MWh
<ed><U+00A0><U+00BD><ed><U+00B4><U+0080>SLR/USD = $0.4731<U+2B06>
<ed><U+00A0><U+00BD><ed><U+00B2><U+00B5>Earni… https://t.co/E7oaaajblm",FALSE,0,NA,2018-02-06 21:07:06,TRUE,NA,"960983213073223684",NA,"<a href=""http://shkspr.mobi/blog/2013/12/graphing-my-solar-panels-open-source/"" rel=""nofollow"">SolarPanelGraph</a>","projectAlborada",0,FALSE,FALSE,NA,NA
"59","RT @SolarCoinNews: Let's make 2018 the year we achieve the #Solarity(value of 1 #solarcoin=min bid/MWh, approx $20/MWh, when that happens t…",FALSE,0,NA,2018-02-06 17:56:48,FALSE,NA,"960935322422075392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EmileDesjardins",15,TRUE,FALSE,NA,NA
"60","RT @tijis311: @Stewy13 @elonmusk @Tesla @SolarCoin_SLR @elonmusk @solarcity @Tesla You could also generate #SolarCoin rewards from any sola…",FALSE,0,NA,2018-02-06 17:10:43,FALSE,NA,"960923724735307780",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Scalextrix666",6,TRUE,FALSE,NA,NA
"61","RT @azeezmohammed: #solarcoin is the new black! Excited to see it take off in a big way thanks to @ACWAPower who is the world's 1st to adop…",FALSE,0,NA,2018-02-06 17:10:09,FALSE,NA,"960923579226509312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Scalextrix666",9,TRUE,FALSE,NA,NA
"62","<ed><U+00A0><U+00BD><ed><U+00B3><U+0086>2018/02/06 11:07 @ Home
<U+23F1>1,151 days up
<ed><U+00A0><U+00BC><ed><U+00BC><U+00A4>22 #solarpanels (5.50 kW)
<U+26A1>ENERGY = §22.645 MWh
<ed><U+00A0><U+00BD><ed><U+00B4><U+0080>SLR/USD = $0.4271<U+2B06>
<ed><U+00A0><U+00BD><ed><U+00B2><U+00B5>Earni… https://t.co/GxqWLGYaSJ",FALSE,0,NA,2018-02-06 17:07:09,TRUE,NA,"960922827317825536",NA,"<a href=""http://shkspr.mobi/blog/2013/12/graphing-my-solar-panels-open-source/"" rel=""nofollow"">SolarPanelGraph</a>","projectAlborada",0,FALSE,FALSE,NA,NA
"63","RIP ICOs. WHAT DID I SAY?! GTFO. #SOLARCOIN #WEEDCOIN #ICON #TRON ETC. KARMA IS A BITCH EH?!",FALSE,0,NA,2018-02-06 16:18:44,FALSE,NA,"960910640511516675",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","xtrinity_me",0,FALSE,FALSE,NA,NA
"64","Top volume decrease over the last 12h: Expanse $EXP, Swarm City Token $SWT, SolarCoin $SLR",FALSE,1,NA,2018-02-06 16:05:31,FALSE,NA,"960907314604789762",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Breaking_Crypto",0,FALSE,FALSE,NA,NA
"65","Top volume decrease over the last 12h: Expanse $EXP, Swarm City Token $SWT, SolarCoin $SLR",FALSE,0,NA,2018-02-06 16:02:02,FALSE,NA,"960906438058086403",NA,"<a href=""http://thdim.istothesis.com/"" rel=""nofollow"">Crypto Analyst POST Tweets</a>","CryptoIndexes",0,FALSE,FALSE,NA,NA
"66","RT @falyranaivoson: ""Together with #FairCoin, the @holochain , the #SolarCoin and the Heyerdahl Mangrove Coin, this should be on the radar…",FALSE,0,NA,2018-02-06 15:32:33,FALSE,NA,"960899018636316673",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JulioMonteiro",10,TRUE,FALSE,NA,NA
